Year,League,FranchiseID,name,Division,W,L,DivWin,WCWin,LgWin,WSWin,R,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,Playoffs,Win %
1996,AL,MIL,Milwaukee Brewers,C,80,82,N,N,N,N,894,1578,304,40,178,624.0,986.0,101.0,48.0,53.0,50.0,899,5.14,6,4,42,1570,213,635,846,134,180,0.978,0,0.494
1996,NL,WSN,Montreal Expos,E,88,74,N,N,N,N,741,1441,297,27,148,492.0,1077.0,108.0,34.0,58.0,36.0,668,3.78,11,7,43,1353,152,482,1206,126,121,0.98,0,0.543
1996,AL,NYY,New York Yankees,E,92,70,Y,N,Y,Y,871,1621,293,28,162,632.0,909.0,96.0,46.0,41.0,72.0,787,4.65,6,9,52,1469,143,610,1139,91,146,0.985,1,0.568
1996,NL,NYM,New York Mets,E,71,91,N,N,N,N,746,1515,267,47,147,445.0,1069.0,97.0,48.0,33.0,49.0,779,4.22,10,10,41,1517,159,532,999,159,163,0.974,0,0.438
1996,AL,OAK,Oakland Athletics,W,78,84,N,N,N,N,861,1492,283,21,243,640.0,1114.0,58.0,35.0,58.0,39.0,900,5.2,7,5,34,1638,205,644,884,103,195,0.984,0,0.481
1996,NL,PHI,Philadelphia Phillies,E,67,95,N,N,N,N,650,1405,249,39,132,536.0,1092.0,117.0,41.0,45.0,37.0,790,4.48,12,6,42,1463,160,510,1044,116,145,0.981,0,0.414
1996,NL,PIT,Pittsburgh Pirates,C,73,89,N,N,N,N,776,1509,319,33,138,510.0,989.0,126.0,49.0,40.0,49.0,833,4.61,5,7,37,1602,183,479,1044,128,144,0.98,0,0.451
1996,NL,SDP,San Diego Padres,W,91,71,Y,N,N,N,771,1499,285,24,147,601.0,1014.0,109.0,55.0,50.0,52.0,682,3.72,5,11,47,1395,138,506,1194,118,136,0.981,1,0.562
1996,AL,SEA,Seattle Mariners,W,85,76,N,N,N,N,993,1625,343,19,245,670.0,1052.0,90.0,39.0,75.0,58.0,895,5.21,4,4,34,1562,216,605,1000,110,155,0.982,0,0.528
1996,NL,SFG,San Francisco Giants,W,68,94,N,N,N,N,752,1400,245,21,153,615.0,1189.0,113.0,53.0,48.0,43.0,862,4.71,9,8,35,1520,194,570,997,136,165,0.978,0,0.42
1996,NL,STL,St. Louis Cardinals,C,88,74,Y,N,N,N,759,1468,281,31,142,495.0,1089.0,149.0,58.0,44.0,48.0,706,3.97,13,11,43,1380,173,539,1050,125,139,0.98,1,0.543
1996,AL,TEX,Texas Rangers,W,90,72,Y,N,N,N,928,1622,323,32,221,660.0,1041.0,83.0,26.0,31.0,69.0,799,4.65,19,6,43,1569,168,582,976,87,150,0.986,1,0.556
1996,AL,TOR,Toronto Blue Jays,E,74,88,N,N,N,N,766,1451,302,35,177,529.0,1105.0,116.0,38.0,92.0,37.0,809,4.57,19,7,35,1476,187,610,1033,110,187,0.982,0,0.457
1997,AL,ANA,Anaheim Angels,W,84,78,N,N,N,N,829,1531,279,25,161,617.0,953.0,126.0,72.0,45.0,57.0,794,4.52,9,5,39,1506,202,605,1050,123,140,0.98,0,0.519
1997,NL,ATL,Atlanta Braves,E,101,61,Y,N,N,N,791,1490,268,37,174,597.0,1160.0,108.0,58.0,52.0,52.0,581,3.18,21,17,37,1319,111,450,1196,114,136,0.982,1,0.623
1997,AL,BAL,Baltimore Orioles,E,98,64,Y,N,N,N,812,1498,264,22,196,586.0,952.0,63.0,26.0,65.0,59.0,681,3.91,8,10,59,1404,164,563,1139,97,148,0.984,1,0.605
1997,AL,BOS,Boston Red Sox,E,78,84,N,N,N,N,851,1684,373,32,185,514.0,1044.0,68.0,48.0,59.0,55.0,857,4.85,7,4,40,1569,149,611,987,135,179,0.978,0,0.481
1997,AL,CHW,Chicago White Sox,C,80,81,N,N,N,N,779,1498,260,28,158,569.0,901.0,106.0,52.0,33.0,60.0,833,4.73,6,7,52,1505,175,575,961,127,131,0.978,0,0.497
1997,NL,CHC,Chicago Cubs,C,68,94,N,N,N,N,687,1444,269,39,127,451.0,1003.0,116.0,60.0,34.0,38.0,759,4.44,6,4,37,1451,185,590,1072,112,117,0.981,0,0.42
1997,NL,CIN,Cincinnati Reds,C,76,86,N,N,N,N,651,1386,269,27,142,518.0,1113.0,190.0,67.0,45.0,30.0,764,4.41,5,8,49,1408,173,558,1159,106,129,0.982,0,0.469
1997,AL,CLE,Cleveland Indians,C,86,75,Y,N,Y,N,868,1589,301,22,220,617.0,955.0,118.0,59.0,37.0,49.0,815,4.73,4,3,39,1528,181,575,1036,106,159,0.983,1,0.534
1997,NL,COL,Colorado Rockies,W,83,79,N,N,N,N,923,1611,269,40,239,562.0,1060.0,137.0,65.0,63.0,35.0,908,5.25,9,5,38,1697,196,566,870,111,202,0.983,0,0.512
1997,AL,DET,Detroit Tigers,E,79,83,N,N,N,N,784,1415,268,32,176,578.0,1164.0,161.0,72.0,49.0,47.0,790,4.56,13,8,42,1476,178,552,982,92,146,0.985,0,0.488
1997,NL,FLA,Florida Marlins,E,92,70,N,Y,Y,Y,740,1410,272,28,136,686.0,1074.0,115.0,58.0,61.0,42.0,669,3.83,12,10,39,1353,131,639,1188,116,167,0.981,1,0.568
1997,NL,HOU,Houston Astros,C,84,78,Y,N,N,N,777,1427,314,40,133,633.0,1085.0,171.0,74.0,100.0,53.0,660,3.66,16,12,37,1379,134,511,1138,131,169,0.979,1,0.519
1997,AL,KCR,Kansas City Royals,C,67,94,N,N,N,N,747,1478,256,35,158,561.0,1061.0,130.0,66.0,42.0,42.0,820,4.7,11,5,29,1530,186,531,961,91,168,0.985,0,0.416
1997,NL,LAD,Los Angeles Dodgers,W,88,74,N,N,N,N,742,1488,242,33,174,498.0,1079.0,131.0,64.0,33.0,36.0,645,3.62,6,6,45,1325,163,546,1232,116,104,0.981,0,0.543
1997,AL,MIN,Minnesota Twins,C,68,94,N,N,N,N,772,1522,305,40,132,495.0,1121.0,151.0,52.0,60.0,56.0,861,5.0,10,4,30,1596,187,495,908,101,170,0.983,0,0.42
1997,AL,MIL,Milwaukee Brewers,C,78,83,N,N,N,N,681,1415,294,27,135,494.0,967.0,103.0,55.0,58.0,52.0,742,4.22,6,8,44,1419,177,542,1016,121,171,0.98,0,0.484
1997,NL,WSN,Montreal Expos,E,78,84,N,N,N,N,691,1423,339,34,172,420.0,1084.0,75.0,46.0,73.0,40.0,740,4.14,27,14,37,1365,149,557,1138,132,150,0.979,0,0.481
1997,AL,NYY,New York Yankees,E,96,66,N,Y,N,N,891,1636,325,23,161,676.0,954.0,99.0,58.0,37.0,70.0,688,3.84,11,10,51,1463,144,532,1165,104,156,0.983,1,0.593
1997,NL,NYM,New York Mets,E,88,74,N,N,N,N,777,1448,274,28,153,550.0,1029.0,97.0,74.0,57.0,59.0,709,3.95,7,8,49,1452,160,504,982,120,165,0.981,0,0.543
1997,AL,OAK,Oakland Athletics,W,65,97,N,N,N,N,764,1451,274,23,197,642.0,1181.0,71.0,36.0,49.0,40.0,946,5.48,2,1,38,1734,197,642,953,122,170,0.98,0,0.401
1997,NL,PHI,Philadelphia Phillies,E,68,94,N,N,N,N,668,1390,290,35,116,519.0,1032.0,92.0,56.0,40.0,50.0,840,4.85,13,7,35,1441,171,616,1209,108,134,0.982,0,0.42
1997,NL,PIT,Pittsburgh Pirates,C,79,83,N,N,N,N,725,1440,291,52,129,481.0,1161.0,160.0,50.0,92.0,47.0,760,4.28,6,8,41,1503,143,560,1080,131,149,0.979,0,0.488
